-2.078200000000000000e+04,-1.532100000000000000e+04,-1.442900000000000000e+04,-1.152800000000000000e+04,-9.453000000000000000e+03,-6.701000000000000000e+03,-2.198000000000000000e+03
-2.133200000000000000e+04,-1.544500000000000000e+04,-1.531700000000000000e+04,-1.186900000000000000e+04,-1.066200000000000000e+04,-6.046000000000000000e+03,-2.183000000000000000e+03
-2.161800000000000000e+04,-1.564900000000000000e+04,-1.448000000000000000e+04,-1.129000000000000000e+04,-9.993000000000000000e+03,-6.393000000000000000e+03,-2.182000000000000000e+03
-2.290300000000000000e+04,-1.455800000000000000e+04,-1.435500000000000000e+04,-1.155200000000000000e+04,-1.022600000000000000e+04,-6.410000000000000000e+03,-2.193000000000000000e+03
-2.116000000000000000e+04,-1.595300000000000000e+04,-1.454200000000000000e+04,-1.064300000000000000e+04,-1.002500000000000000e+04,-6.506000000000000000e+03,-2.154000000000000000e+03
-2.187300000000000000e+04,-1.589700000000000000e+04,-1.486000000000000000e+04,-1.169500000000000000e+04,-9.687000000000000000e+03,-6.342000000000000000e+03,-2.125000000000000000e+03
-2.218600000000000000e+04,-1.543100000000000000e+04,-1.429500000000000000e+04,-1.138500000000000000e+04,-9.622000000000000000e+03,-6.565000000000000000e+03,-2.206000000000000000e+03
-2.252100000000000000e+04,-1.559200000000000000e+04,-1.478000000000000000e+04,-1.161200000000000000e+04,-1.025500000000000000e+04,-6.067000000000000000e+03,-2.277000000000000000e+03
-2.190700000000000000e+04,-1.506400000000000000e+04,-1.497100000000000000e+04,-1.099400000000000000e+04,-1.062900000000000000e+04,-6.331000000000000000e+03,-2.250000000000000000e+03
-2.211300000000000000e+04,-1.567000000000000000e+04,-1.436600000000000000e+04,-1.132300000000000000e+04,-9.614000000000000000e+03,-6.467000000000000000e+03,-2.202000000000000000e+03
-2.168900000000000000e+04,-1.529500000000000000e+04,-1.480700000000000000e+04,-1.107500000000000000e+04,-9.537000000000000000e+03,-6.403000000000000000e+03,-2.161000000000000000e+03
-2.252300000000000000e+04,-1.655600000000000000e+04,-1.470100000000000000e+04,-1.151500000000000000e+04,-1.017900000000000000e+04,-6.692000000000000000e+03,-2.090000000000000000e+03
-2.203400000000000000e+04,-1.616000000000000000e+04,-1.411700000000000000e+04,-1.095200000000000000e+04,-1.054600000000000000e+04,-6.550000000000000000e+03,-2.230000000000000000e+03
-2.195900000000000000e+04,-1.546400000000000000e+04,-1.500900000000000000e+04,-1.122300000000000000e+04,-9.719000000000000000e+03,-6.210000000000000000e+03,-2.123000000000000000e+03
