1.710000000000000000e+02,5.045000000000000000e+02,6.357500000000000000e+02,7.667500000000000000e+02,9.637500000000000000e+02,1.127750000000000000e+03,1.336750000000000000e+03,1.486750000000000000e+03,1.623000000000000000e+03,1.757000000000000000e+03,1.867875000000000000e+03
1.690000000000000000e+02,5.345000000000000000e+02,6.107500000000000000e+02,7.617500000000000000e+02,9.717500000000000000e+02,1.054750000000000000e+03,1.336750000000000000e+03,1.514750000000000000e+03,1.683000000000000000e+03,1.730000000000000000e+03,1.867875000000000000e+03
1.930000000000000000e+02,4.885000000000000000e+02,6.247500000000000000e+02,7.947500000000000000e+02,9.677500000000000000e+02,1.167750000000000000e+03,1.288750000000000000e+03,1.460750000000000000e+03,1.627000000000000000e+03,1.755000000000000000e+03,1.867875000000000000e+03
1.590000000000000000e+02,3.265000000000000000e+02,6.417500000000000000e+02,8.087500000000000000e+02,9.897500000000000000e+02,1.060750000000000000e+03,1.295750000000000000e+03,1.489750000000000000e+03,1.558000000000000000e+03,1.708000000000000000e+03,1.867875000000000000e+03
1.450000000000000000e+02,2.645000000000000000e+02,6.677500000000000000e+02,8.347500000000000000e+02,9.417500000000000000e+02,1.108750000000000000e+03,1.293750000000000000e+03,1.556750000000000000e+03,1.659000000000000000e+03,1.706000000000000000e+03,1.867875000000000000e+03
1.410000000000000000e+02,2.215000000000000000e+02,6.087500000000000000e+02,8.267500000000000000e+02,9.487500000000000000e+02,1.044750000000000000e+03,1.341750000000000000e+03,1.448750000000000000e+03,1.562000000000000000e+03,1.711000000000000000e+03,1.867875000000000000e+03
1.610000000000000000e+02,4.025000000000000000e+02,6.437500000000000000e+02,7.827500000000000000e+02,9.937500000000000000e+02,1.111750000000000000e+03,1.356750000000000000e+03,1.514750000000000000e+03,1.643000000000000000e+03,1.732000000000000000e+03,1.867875000000000000e+03
1.380000000000000000e+02,4.515000000000000000e+02,6.197500000000000000e+02,9.047500000000000000e+02,9.347500000000000000e+02,1.149750000000000000e+03,1.343750000000000000e+03,1.442750000000000000e+03,1.537000000000000000e+03,1.710000000000000000e+03,1.867875000000000000e+03
1.930000000000000000e+02,4.965000000000000000e+02,6.407500000000000000e+02,7.747500000000000000e+02,9.677500000000000000e+02,1.076750000000000000e+03,1.389750000000000000e+03,1.439750000000000000e+03,1.614000000000000000e+03,1.724000000000000000e+03,1.867875000000000000e+03
1.750000000000000000e+02,4.415000000000000000e+02,6.307500000000000000e+02,8.417500000000000000e+02,9.837500000000000000e+02,1.131750000000000000e+03,1.375750000000000000e+03,1.480750000000000000e+03,1.731000000000000000e+03,1.747000000000000000e+03,1.867875000000000000e+03
